Date,State,Price
2021-06-11,Karnataka,460.0
2021-06-11,Maharashtra,600.0
2021-06-12,Delhi,604.0
2021-06-12,Karnataka,533.0
2021-06-12,Maharashtra,1000.0
2021-06-13,Delhi,700.0
2021-06-13,Karnataka,530.0
2021-06-13,Maharashtra,850.0
2021-06-14,Delhi,428.0
2021-06-14,Karnataka,460.0
2021-06-14,Maharashtra,850.0
2021-06-15,Delhi,678.0
2021-06-15,Karnataka,430.0
2021-06-15,Maharashtra,850.0
2021-06-16,Delhi,828.0
2021-06-16,Karnataka,460.0
2021-06-16,Maharashtra,625.0
2021-06-17,Delhi,748.0
2021-06-17,Karnataka,500.0
2021-06-17,Maharashtra,625.0
2021-06-18,Delhi,712.0
2021-06-18,Karnataka,460.0
2021-06-18,Maharashtra,500.0
2021-06-19,Delhi,424.0
2021-06-19,Karnataka,530.0
2021-06-19,Maharashtra,550.0
2021-06-20,Delhi,1300.0
2021-06-20,Karnataka,600.0
2021-06-20,Maharashtra,750.0
2021-06-21,Delhi,923.0
2021-06-21,Karnataka,600.0
2021-06-21,Maharashtra,750.0
2021-06-22,Delhi,1048.6666666666667
2021-06-22,Karnataka,660.0
2021-06-22,Maharashtra,850.0
2021-06-23,Delhi,1200.0
2021-06-23,Karnataka,660.0
2021-06-23,Maharashtra,950.0
2021-06-24,Delhi,974.5
2021-06-24,Karnataka,560.0
2021-06-24,Maharashtra,850.0
2021-06-25,Delhi,1024.5
2021-06-25,Karnataka,530.0
2021-06-25,Maharashtra,850.0
2021-06-26,Delhi,1138.5
2021-06-26,Karnataka,530.0
2021-06-26,Maharashtra,850.0
2021-06-27,Delhi,1200.0
2021-06-27,Karnataka,500.0
2021-06-27,Maharashtra,900.0
2021-06-28,Delhi,1000.0
2021-06-28,Karnataka,500.0
2021-06-28,Maharashtra,1000.0
2021-06-29,Delhi,1000.0
2021-06-29,Karnataka,500.0
2021-06-29,Maharashtra,850.0
2021-06-30,Karnataka,460.0
2021-06-30,Maharashtra,1000.0
2021-07-01,Delhi,1450.0
2021-07-01,Karnataka,530.0
2021-07-02,Delhi,1800.0
2021-07-02,Karnataka,530.0
2021-07-02,Maharashtra,1125.0
2021-07-03,Delhi,1434.5
2021-07-03,Karnataka,560.0
2021-07-03,Maharashtra,500.0
2021-07-04,Delhi,1800.0
2021-07-04,Karnataka,530.0
2021-07-04,Maharashtra,750.0
2021-07-05,Delhi,1684.5
2021-07-05,Karnataka,600.0
2021-07-06,Delhi,1884.5
2021-07-06,Karnataka,600.0
2021-07-07,Delhi,1884.5
2021-07-07,Karnataka,530.0
2021-07-08,Delhi,1691.0
2021-07-08,Karnataka,530.0
2021-07-09,Delhi,1727.3333333333333
2021-07-09,Karnataka,460.0
2021-07-10,Delhi,1125.0
2021-07-10,Karnataka,460.0
2021-07-11,Delhi,1200.0
2021-07-11,Karnataka,530.0
2021-07-11,Maharashtra,850.0
2021-07-12,Delhi,1560.3333333333333
2021-07-12,Karnataka,530.0
2021-07-13,Delhi,1790.5
2021-07-13,Karnataka,560.0
2021-07-13,Maharashtra,1000.0
2021-07-14,Delhi,1279.5
2021-07-14,Karnataka,560.0
2021-07-15,Delhi,1359.0
2021-07-15,Karnataka,600.0
2021-07-16,Delhi,1283.0
2021-07-16,Karnataka,600.0
2021-07-17,Delhi,1471.0
2021-07-17,Karnataka,530.0
2021-07-18,Delhi,2200.0
2021-07-18,Karnataka,530.0
2021-07-19,Delhi,1521.0
2021-07-19,Karnataka,600.0
2021-07-19,Maharashtra,600.0
2021-07-20,Delhi,1947.3333333333333
2021-07-20,Karnataka,633.0
2021-07-21,Delhi,1621.0
2021-07-21,Karnataka,630.0
2021-07-22,Delhi,2266.5
2021-07-22,Karnataka,660.0
2021-07-22,Maharashtra,1125.0
2021-07-23,Delhi,2698.5
2021-07-23,Karnataka,660.0
2021-07-24,Delhi,2711.0
2021-07-24,Karnataka,730.0
2021-07-25,Delhi,2800.0
2021-07-25,Karnataka,660.0
2021-07-26,Delhi,2911.0
2021-07-26,Karnataka,700.0
2021-07-27,Delhi,2659.6666666666665
2021-07-27,Karnataka,660.0
